,Land,Employment to population ratio,Employment in agriculture in % ,Employment in services in %,Unemployment in %,Child labour in %,Working poor at PPP$3.20 a day in %,High-skill to low-skill ratio
78,Peru,75.063,27.386,57.268,3.31,14.5,9.47,0.4310114041490969
79,Thailand,66.818,31.615,45.75,0.754,NaN,0.125,1.1902333306634272
80,Armenia,46.173,29.638,53.187,16.99,4.1,6.197,2.530983998873821
81,North Macedonia,45.309,15.377,53.221,17.759,7.56379,0.082,2.3348630643967434
82,Colombia,62.095,16.613,63.395,9.707,3.6,5.189,1.2009229754372959
83,Brazil,56.165,9.221,70.996,12.083,5.4,3.841,1.3843161980349057
84,China,65.05,25.363,46.436,4.32,NaN,5.207,NaN
85,Ecuador,65.338,29.202,52.477,3.968,NaN,7.813,0.5265469490061477
86,Saint Lucia,53.209,17.274,64.478,20.706,3.31453,NaN,1.3655566413590918
87,Azerbaijan,62.838,35.87,49.273,5.509,NaN,0.06,1.5057592485349516
88,Dominican Republic,60.562,9.021,71.118,5.845,7,2.843,0.8802543314771875
89,Moldova (Republic of),40.728,35.931,47.22,5.473,NaN,0.348,2.254949551848109
90,Algeria,36.333,9.856,59.41,11.704,4.26,1.268,0.8420016141909877
91,Lebanon,44.085,13.609,63.934,6.229,NaN,0.21,NaN
92,Fiji,55.279,36.26,50.414,4.101,NaN,7.225,1.699888828563303
93,Dominica,NaN,NaN,NaN,NaN,NaN,NaN,NaN
94,Maldives,65.507,8.47,73.146,6.138,NaN,8.945,3.397583121912138
95,Tunisia,38.734,13.031,54.419,16.022,2.2546,0.89,0.9501136909797662
96,Saint Vincent and the Grenadines,53.432,10.727,69.339,18.881,NaN,NaN,NaN
97,Suriname,47.385,7.518,69.013,7.334,4.3,14.362,3.1923159018143012
98,Mongolia,56.089,27.424,53.212,6.011,14.7,2.018,2.8624058716995524
99,Botswana,57.935,20.687,61.197,18.193,NaN,28.303,0.5903841889502321
100,Jamaica,60.746,15.93,67.901,8.002,2.9,3.336,1.5849712178558826
101,Jordan,33.521,3.084,72.401,14.715,1.7,1.356,NaN
102,Paraguay,68.627,20.13,61.711,4.809,17.85,1.618,0.9144798237033539
103,Tonga,59.083,24.189,46.706,1.117,NaN,NaN,3.853846153846154
104,Libya,40.463,18.905,59.173,18.563,NaN,0.356,NaN
105,Uzbekistan,61.21,23.924,46.597,5.917,NaN,37.196,NaN
106,Bolivia (Plurinational State of),69.301,30.709,49.882,3.498,NaN,9.98,2.4974702270159685
107,Indonesia,64.333,28.635,48.911,4.687,NaN,21.474,0.6515721553132523
108,Philippines,58.339,23.405,57.157,2.15,NaN,18.265,0.7907494869868205
109,Belize,60.884,16.846,67.454,6.413,3.3,7.114,0.7680671730282345
110,Samoa,40.033,30.394,46.542,8.359,NaN,NaN,2.5041557824744713
111,Turkmenistan,61.959,19.883,37.718,3.913,0.28084,14.474,NaN
112,Venezuela (Bolivarian Republic of),54.473,8.306,75.069,8.801,NaN,18.764,46.56813293835978
113,South Africa,40.231,5.088,72.006,28.181,3.6,17.096,0.8059882678309022
114,"Palestine, State of",32.366,6.085,62.282,26.169,9.38247,1.377,1.4011589149274397
115,Egypt,41.419,23.792,48.528,10.76,4.79,11.885,3.680724697983362
116,Marshall Islands,NaN,NaN,NaN,NaN,NaN,NaN,NaN
117,Viet Nam,75.888,37.358,35,2.013,13.12,6.16,0.3276404154669745
118,Gabon,42.314,32.831,56.415,20.004,19.59701,5.254,NaN
119,Kyrgyzstan,56.044,21.172,54.759,6.33,22.3,13.686,0.7500447376035028
120,Morocco,41.22,34.69,43.598,9.019,NaN,4.967,0.4509802702117762
121,Guyana,49.524,17.137,60.041,11.852,10.84,4.957,0.9684918745471484
122,Iraq,37.484,18.099,59.58,12.822,4.5,6.774,1.2952583118234002
123,El Salvador,56.668,16.281,61.586,4.11,10,4.412,0.5261460712947795
124,Tajikistan,37.391,44.921,39.364,11.017,NaN,15.867,0.9439968264367434
125,Cabo Verde,53.049,11.46,66.549,12.249,NaN,10.935,0.7512268863377444
126,Guatemala,60.817,31.49,49.964,2.459,NaN,12.902,0.30413411770494486
127,Nicaragua,61.864,30.652,53.415,6.837,NaN,22.974,0.39063091409274775
128,Bhutan,65.152,55.315,33.917,2.342,3.50301,11.17,4.135524652338812
129,Namibia,47.464,22.133,61.594,20.273,NaN,14.632,0.6531446855314468
130,India,46.653,42.385,32.038,5.355,NaN,42.375,0.6301881529043267
131,Honduras,65.067,30.26,49.767,5.386,NaN,23.062,0.5477091678664692
132,Bangladesh,56.521,38.577,40.164,4.19,NaN,42.612,0.4842642024063942
133,Kiribati,NaN,NaN,NaN,NaN,NaN,NaN,1.188280675973549
134,Sao Tome and Principe,50.064,19.095,62.472,13.369,18.16,NaN,0.8276668083297917
135,Micronesia (Federated States of),NaN,NaN,NaN,NaN,NaN,NaN,1.607037401574803
136,Lao People's Democratic Republic,77.982,62.422,25.685,0.626,28.2,35.624,2.7623036803924177
137,Eswatini (Kingdom of),40.91,12.458,63.75,22.083,7.77351,13.479,0.9998096362148066
138,Ghana,64.862,29.265,48.959,4.331,19.9,21.463,2.121142453235785
139,Vanuatu,66.811,55.842,37.843,4.385,15.62946,NaN,0.7809086395233368
140,Timor-Leste,64.275,44.482,45.852,4.548,NaN,62.645,0.8219982136021436
141,Nepal,82.626,65.004,19.859,1.407,21.71,33.449,0.6800606609627392
142,Kenya,72.722,54.44,38.249,2.642,NaN,55.459,NaN
143,Cambodia,81.756,32.297,38.702,0.677,12.6,36.831,0.46548835218046003
