,model,country_code,country,region,income group,scraped_date,model_en,price_local_currency,Currency CodeA,X,USD_Normalized,USD_Normalized_MEAN,Land,HDI,Life expactancy at birth in years,Mean years of schooling in years,Gross national income (GNI) per capita in US$,IHDI,Inequality in life expectancy in%,Inequality in education in %,Inequality in income in %,Income Shares of top 1%,Income Shares of top 1%,GINI,Gender Inequality Index,Maternal mortality ratio per 100.000,Share of female seats in parliament in %,Employment to population ratio,Employment in agriculture in % ,Employment in services in %,Unemployment in %,Child labour in %,Working poor at PPP$3.20 a day in %,High-skill to low-skill ratio,Prison population per 100.000,Homocide rate per 100.000,Suicide rate (female) per 100.000,Suicide rate (male) per 100.000,Internet User in %,Mobile phone subscriptions per 100 people
93,iPad Pro,IE,Ireland,Europe & Central Asia,High income,2022-01-02 21:52:22.791120,iPad Pro,909.0,EUR,0.8845999836921692,1027.583107345299,529.5371694146213,Ireland,0.955,82.31,12.6663305,68370.58737,0.885,3.4,3.28604,14.97823,25.9,11.25,32.8,0.093,5,24.31192661,59.008,4.619,76.679,4.928,NaN,NaN,5.115331814684629,82.2,0.87160546,4.2,17.6,84.5223,103.171
94,Apple Pencil (2nd generation),IE,Ireland,Europe & Central Asia,High income,2022-01-02 21:52:22.791120,Apple Pencil (2nd generation),135.0,EUR,0.8845999836921692,152.6113525760345,529.5371694146213,Ireland,0.955,82.31,12.6663305,68370.58737,0.885,3.4,3.28604,14.97823,25.9,11.25,32.8,0.093,5,24.31192661,59.008,4.619,76.679,4.928,NaN,NaN,5.115331814684629,82.2,0.87160546,4.2,17.6,84.5223,103.171
95,24-inch iMac²,IE,Ireland,Europe & Central Asia,High income,2022-01-02 21:52:22.791120,24-inch iMac,1499.0,EUR,0.8845999836921692,1694.551240825746,529.5371694146213,Ireland,0.955,82.31,12.6663305,68370.58737,0.885,3.4,3.28604,14.97823,25.9,11.25,32.8,0.093,5,24.31192661,59.008,4.619,76.679,4.928,NaN,NaN,5.115331814684629,82.2,0.87160546,4.2,17.6,84.5223,103.171
96,MacBook Air,IE,Ireland,Europe & Central Asia,High income,2022-01-02 21:52:22.791120,MacBook Air,1129.0,EUR,0.8845999836921692,1276.283089321059,529.5371694146213,Ireland,0.955,82.31,12.6663305,68370.58737,0.885,3.4,3.28604,14.97823,25.9,11.25,32.8,0.093,5,24.31192661,59.008,4.619,76.679,4.928,NaN,NaN,5.115331814684629,82.2,0.87160546,4.2,17.6,84.5223,103.171
97,Magic Mouse,IE,Ireland,Europe & Central Asia,High income,2022-01-02 21:52:22.791120,Magic Mouse,85.0,EUR,0.8845999836921692,96.08862939972542,529.5371694146213,Ireland,0.955,82.31,12.6663305,68370.58737,0.885,3.4,3.28604,14.97823,25.9,11.25,32.8,0.093,5,24.31192661,59.008,4.619,76.679,4.928,NaN,NaN,5.115331814684629,82.2,0.87160546,4.2,17.6,84.5223,103.171
98,iPhone SE,IT,Italy,Europe & Central Asia,High income,2022-01-02 21:52:24.622852,iPhone SE,499.0,EUR,0.8845999836921692,564.0967772995646,532.7670393104104,Italy,0.892,83.51,10.37955,42776.35692,0.783,3.1,10.60056,21.76434,26.7,8.7300003,35.9,0.069,2,35.26315789,44.655,3.684,70.444,9.887,NaN,NaN,3.31604652854809,100.8,0.569050661,2.6,8.4,74.3872,137.467
99,iPhone 12,IT,Italy,Europe & Central Asia,High income,2022-01-02 21:52:24.622852,iPhone 12,719.0,EUR,0.8845999836921692,812.7967592753245,532.7670393104104,Italy,0.892,83.51,10.37955,42776.35692,0.783,3.1,10.60056,21.76434,26.7,8.7300003,35.9,0.069,2,35.26315789,44.655,3.684,70.444,9.887,NaN,NaN,3.31604652854809,100.8,0.569050661,2.6,8.4,74.3872,137.467
100,AirPods Pro,IT,Italy,Europe & Central Asia,High income,2022-01-02 21:52:24.622852,AirPods Pro,279.0,EUR,0.8845999836921692,315.3967953238046,532.7670393104104,Italy,0.892,83.51,10.37955,42776.35692,0.783,3.1,10.60056,21.76434,26.7,8.7300003,35.9,0.069,2,35.26315789,44.655,3.684,70.444,9.887,NaN,NaN,3.31604652854809,100.8,0.569050661,2.6,8.4,74.3872,137.467
101,AirPods(seconda generazione),IT,Italy,Europe & Central Asia,High income,2022-01-02 21:52:24.622852,AirPods(2nd generation),149.0,EUR,0.8845999836921692,168.43771506540105,532.7670393104104,Italy,0.892,83.51,10.37955,42776.35692,0.783,3.1,10.60056,21.76434,26.7,8.7300003,35.9,0.069,2,35.26315789,44.655,3.684,70.444,9.887,NaN,NaN,3.31604652854809,100.8,0.569050661,2.6,8.4,74.3872,137.467
102,Apple TV 4K,IT,Italy,Europe & Central Asia,High income,2022-01-02 21:52:24.622852,Apple TV 4K,199.0,EUR,0.8845999836921692,224.9604382417101,532.7670393104104,Italy,0.892,83.51,10.37955,42776.35692,0.783,3.1,10.60056,21.76434,26.7,8.7300003,35.9,0.069,2,35.26315789,44.655,3.684,70.444,9.887,NaN,NaN,3.31604652854809,100.8,0.569050661,2.6,8.4,74.3872,137.467
103,Apple Watch SE,IT,Italy,Europe & Central Asia,High income,2022-01-02 21:52:24.622852,Apple Watch SE,309.0,EUR,0.8845999836921692,349.31042922959006,532.7670393104104,Italy,0.892,83.51,10.37955,42776.35692,0.783,3.1,10.60056,21.76434,26.7,8.7300003,35.9,0.069,2,35.26315789,44.655,3.684,70.444,9.887,NaN,NaN,3.31604652854809,100.8,0.569050661,2.6,8.4,74.3872,137.467
104,Apple Watch Series 3,IT,Italy,Europe & Central Asia,High income,2022-01-02 21:52:24.622852,Apple Watch Series 3,229.0,EUR,0.8845999836921692,258.87407214749555,532.7670393104104,Italy,0.892,83.51,10.37955,42776.35692,0.783,3.1,10.60056,21.76434,26.7,8.7300003,35.9,0.069,2,35.26315789,44.655,3.684,70.444,9.887,NaN,NaN,3.31604652854809,100.8,0.569050661,2.6,8.4,74.3872,137.467
105,Cinturino Sport,IT,Italy,Europe & Central Asia,High income,2022-01-02 21:52:24.622852,Sport Band,49.0,EUR,0.8845999836921692,55.392268712782894,532.7670393104104,Italy,0.892,83.51,10.37955,42776.35692,0.783,3.1,10.60056,21.76434,26.7,8.7300003,35.9,0.069,2,35.26315789,44.655,3.684,70.444,9.887,NaN,NaN,3.31604652854809,100.8,0.569050661,2.6,8.4,74.3872,137.467
106,iPad,IT,Italy,Europe & Central Asia,High income,2022-01-02 21:52:24.622852,iPad,389.0,EUR,0.8845999836921692,439.7467863116846,532.7670393104104,Italy,0.892,83.51,10.37955,42776.35692,0.783,3.1,10.60056,21.76434,26.7,8.7300003,35.9,0.069,2,35.26315789,44.655,3.684,70.444,9.887,NaN,NaN,3.31604652854809,100.8,0.569050661,2.6,8.4,74.3872,137.467
107,iPad Pro,IT,Italy,Europe & Central Asia,High income,2022-01-02 21:52:24.622852,iPad Pro,899.0,EUR,0.8845999836921692,1016.2785627100371,532.7670393104104,Italy,0.892,83.51,10.37955,42776.35692,0.783,3.1,10.60056,21.76434,26.7,8.7300003,35.9,0.069,2,35.26315789,44.655,3.684,70.444,9.887,NaN,NaN,3.31604652854809,100.8,0.569050661,2.6,8.4,74.3872,137.467
108,Apple Pencil (seconda generazione),IT,Italy,Europe & Central Asia,High income,2022-01-02 21:52:24.622852,Apple Pencil (2nd generation),135.0,EUR,0.8845999836921692,152.6113525760345,532.7670393104104,Italy,0.892,83.51,10.37955,42776.35692,0.783,3.1,10.60056,21.76434,26.7,8.7300003,35.9,0.069,2,35.26315789,44.655,3.684,70.444,9.887,NaN,NaN,3.31604652854809,100.8,0.569050661,2.6,8.4,74.3872,137.467
109,"iMac 24""²",IT,Italy,Europe & Central Asia,High income,2022-01-02 21:52:24.622852,24-inch iMac,1499.0,EUR,0.8845999836921692,1694.551240825746,532.7670393104104,Italy,0.892,83.51,10.37955,42776.35692,0.783,3.1,10.60056,21.76434,26.7,8.7300003,35.9,0.069,2,35.26315789,44.655,3.684,70.444,9.887,NaN,NaN,3.31604652854809,100.8,0.569050661,2.6,8.4,74.3872,137.467
110,MacBook Air,IT,Italy,Europe & Central Asia,High income,2022-01-02 21:52:24.622852,MacBook Air,1159.0,EUR,0.8845999836921692,1310.1967232268444,532.7670393104104,Italy,0.892,83.51,10.37955,42776.35692,0.783,3.1,10.60056,21.76434,26.7,8.7300003,35.9,0.069,2,35.26315789,44.655,3.684,70.444,9.887,NaN,NaN,3.31604652854809,100.8,0.569050661,2.6,8.4,74.3872,137.467
111,Magic Mouse,IT,Italy,Europe & Central Asia,High income,2022-01-02 21:52:24.622852,Magic Mouse,85.0,EUR,0.8845999836921692,96.08862939972542,532.7670393104104,Italy,0.892,83.51,10.37955,42776.35692,0.783,3.1,10.60056,21.76434,26.7,8.7300003,35.9,0.069,2,35.26315789,44.655,3.684,70.444,9.887,NaN,NaN,3.31604652854809,100.8,0.569050661,2.6,8.4,74.3872,137.467
112,iPhone SE,LU,Luxembourg,Europe & Central Asia,High income,2022-01-02 21:52:27.538167,iPhone SE,472.83,EUR,0.8845999836921692,534.5127839890844,504.2254865087961,Luxembourg,0.916,82.25,12.31145,72711.67412,0.826,3.4,6.29069,18.99091,25.8,11.93,34.9,0.065,5,25,56.146,1.007,87.295,5.363,NaN,NaN,7.935228710902188,107.6,0.337886923,5.8,15,97.0613,132.165
113,iPhone 12,LU,Luxembourg,Europe & Central Asia,High income,2022-01-02 21:52:27.538167,iPhone 12,666.22,EUR,0.8845999836921692,753.1313726904126,504.2254865087961,Luxembourg,0.916,82.25,12.31145,72711.67412,0.826,3.4,6.29069,18.99091,25.8,11.93,34.9,0.065,5,25,56.146,1.007,87.295,5.363,NaN,NaN,7.935228710902188,107.6,0.337886923,5.8,15,97.0613,132.165
114,AirPods Pro,LU,Luxembourg,Europe & Central Asia,High income,2022-01-02 21:52:27.538167,AirPods Pro,269.78,EUR,0.8845999836921692,304.9740051700932,504.2254865087961,Luxembourg,0.916,82.25,12.31145,72711.67412,0.826,3.4,6.29069,18.99091,25.8,11.93,34.9,0.065,5,25,56.146,1.007,87.295,5.363,NaN,NaN,7.935228710902188,107.6,0.337886923,5.8,15,97.0613,132.165
115,AirPods(2ᵉ génération),LU,Luxembourg,Europe & Central Asia,High income,2022-01-02 21:52:27.538167,AirPods(2nd generation),144.07,EUR,0.8845999836921692,162.86457456021697,504.2254865087961,Luxembourg,0.916,82.25,12.31145,72711.67412,0.826,3.4,6.29069,18.99091,25.8,11.93,34.9,0.065,5,25,56.146,1.007,87.295,5.363,NaN,NaN,7.935228710902188,107.6,0.337886923,5.8,15,97.0613,132.165
116,Apple TV 4K,LU,Luxembourg,Europe & Central Asia,High income,2022-01-02 21:52:27.538167,Apple TV 4K,192.42,EUR,0.8845999836921692,217.52204787170783,504.2254865087961,Luxembourg,0.916,82.25,12.31145,72711.67412,0.826,3.4,6.29069,18.99091,25.8,11.93,34.9,0.065,5,25,56.146,1.007,87.295,5.363,NaN,NaN,7.935228710902188,107.6,0.337886923,5.8,15,97.0613,132.165
117,Apple Watch SE,LU,Luxembourg,Europe & Central Asia,High income,2022-01-02 21:52:27.538167,Apple Watch SE,289.12,EUR,0.8845999836921692,326.8369944946896,504.2254865087961,Luxembourg,0.916,82.25,12.31145,72711.67412,0.826,3.4,6.29069,18.99091,25.8,11.93,34.9,0.065,5,25,56.146,1.007,87.295,5.363,NaN,NaN,7.935228710902188,107.6,0.337886923,5.8,15,97.0613,132.165
118,Apple Watch Series 3,LU,Luxembourg,Europe & Central Asia,High income,2022-01-02 21:52:27.538167,Apple Watch Series 3,211.76,EUR,0.8845999836921692,239.38503719630418,504.2254865087961,Luxembourg,0.916,82.25,12.31145,72711.67412,0.826,3.4,6.29069,18.99091,25.8,11.93,34.9,0.065,5,25,56.146,1.007,87.295,5.363,NaN,NaN,7.935228710902188,107.6,0.337886923,5.8,15,97.0613,132.165
119,Bracelet Sport,LU,Luxembourg,Europe & Central Asia,High income,2022-01-02 21:52:27.538167,Sport Band,47.39,EUR,0.8845999836921692,53.57223702650574,504.2254865087961,Luxembourg,0.916,82.25,12.31145,72711.67412,0.826,3.4,6.29069,18.99091,25.8,11.93,34.9,0.065,5,25,56.146,1.007,87.295,5.363,NaN,NaN,7.935228710902188,107.6,0.337886923,5.8,15,97.0613,132.165
120,iPad,LU,Luxembourg,Europe & Central Asia,High income,2022-01-02 21:52:27.538167,iPad,376.14,EUR,0.8845999836921692,425.20914191073786,504.2254865087961,Luxembourg,0.916,82.25,12.31145,72711.67412,0.826,3.4,6.29069,18.99091,25.8,11.93,34.9,0.065,5,25,56.146,1.007,87.295,5.363,NaN,NaN,7.935228710902188,107.6,0.337886923,5.8,15,97.0613,132.165
121,iPad Pro,LU,Luxembourg,Europe & Central Asia,High income,2022-01-02 21:52:27.538167,iPad Pro,869.29,EUR,0.8845999836921692,982.6927605986742,504.2254865087961,Luxembourg,0.916,82.25,12.31145,72711.67412,0.826,3.4,6.29069,18.99091,25.8,11.93,34.9,0.065,5,25,56.146,1.007,87.295,5.363,NaN,NaN,7.935228710902188,107.6,0.337886923,5.8,15,97.0613,132.165
122,Apple Pencil (2ᵉ génération),LU,Luxembourg,Europe & Central Asia,High income,2022-01-02 21:52:27.538167,Apple Pencil (2nd generation),130.54,EUR,0.8845999836921692,147.5695256687077,504.2254865087961,Luxembourg,0.916,82.25,12.31145,72711.67412,0.826,3.4,6.29069,18.99091,25.8,11.93,34.9,0.065,5,25,56.146,1.007,87.295,5.363,NaN,NaN,7.935228710902188,107.6,0.337886923,5.8,15,97.0613,132.165
123,iMac 24 pouces²,LU,Luxembourg,Europe & Central Asia,High income,2022-01-02 21:52:27.538167,24-inch iMac,1401.1,EUR,0.8845999836921692,1583.8797488465327,504.2254865087961,Luxembourg,0.916,82.25,12.31145,72711.67412,0.826,3.4,6.29069,18.99091,25.8,11.93,34.9,0.065,5,25,56.146,1.007,87.295,5.363,NaN,NaN,7.935228710902188,107.6,0.337886923,5.8,15,97.0613,132.165
124,MacBook Air,LU,Luxembourg,Europe & Central Asia,High income,2022-01-02 21:52:27.538167,MacBook Air,1091.68,EUR,0.8845999836921692,1234.094528742262,504.2254865087961,Luxembourg,0.916,82.25,12.31145,72711.67412,0.826,3.4,6.29069,18.99091,25.8,11.93,34.9,0.065,5,25,56.146,1.007,87.295,5.363,NaN,NaN,7.935228710902188,107.6,0.337886923,5.8,15,97.0613,132.165
125,Magic Mouse,LU,Luxembourg,Europe & Central Asia,High income,2022-01-02 21:52:27.538167,Magic Mouse,82.19,EUR,0.8845999836921692,92.91205235721685,504.2254865087961,Luxembourg,0.916,82.25,12.31145,72711.67412,0.826,3.4,6.29069,18.99091,25.8,11.93,34.9,0.065,5,25,56.146,1.007,87.295,5.363,NaN,NaN,7.935228710902188,107.6,0.337886923,5.8,15,97.0613,132.165
126,iPhone SE,NL,Netherlands,Europe & Central Asia,High income,2022-01-02 21:52:31.737975,iPhone SE,492.1,EUR,0.8845999836921692,556.2966415012339,521.7208842668117,Netherlands,0.944,82.28,12.4148,57707.06867,0.878,3.1,5.3671,12.21919,23.3,6.2100001,28.5,0.043,5,33.77777778,61.587,2.035,81.967,3.196,NaN,NaN,5.685174779179279,65.9,0.58618159,6.4,12.9,94.7121,124.27
127,iPhone 12,NL,Netherlands,Europe & Central Asia,High income,2022-01-02 21:52:31.737975,iPhone 12,689.0,EUR,0.8845999836921692,778.883125369539,521.7208842668117,Netherlands,0.944,82.28,12.4148,57707.06867,0.878,3.1,5.3671,12.21919,23.3,6.2100001,28.5,0.043,5,33.77777778,61.587,2.035,81.967,3.196,NaN,NaN,5.685174779179279,65.9,0.58618159,6.4,12.9,94.7121,124.27
128,AirPods Pro,NL,Netherlands,Europe & Central Asia,High income,2022-01-02 21:52:31.737975,AirPods Pro,279.0,EUR,0.8845999836921692,315.3967953238046,521.7208842668117,Netherlands,0.944,82.28,12.4148,57707.06867,0.878,3.1,5.3671,12.21919,23.3,6.2100001,28.5,0.043,5,33.77777778,61.587,2.035,81.967,3.196,NaN,NaN,5.685174779179279,65.9,0.58618159,6.4,12.9,94.7121,124.27
129,AirPods(2e generatie),NL,Netherlands,Europe & Central Asia,High income,2022-01-02 21:52:31.737975,AirPods(2nd generation),149.0,EUR,0.8845999836921692,168.43771506540105,521.7208842668117,Netherlands,0.944,82.28,12.4148,57707.06867,0.878,3.1,5.3671,12.21919,23.3,6.2100001,28.5,0.043,5,33.77777778,61.587,2.035,81.967,3.196,NaN,NaN,5.685174779179279,65.9,0.58618159,6.4,12.9,94.7121,124.27
130,Apple TV 4K,NL,Netherlands,Europe & Central Asia,High income,2022-01-02 21:52:31.737975,Apple TV 4K,199.0,EUR,0.8845999836921692,224.9604382417101,521.7208842668117,Netherlands,0.944,82.28,12.4148,57707.06867,0.878,3.1,5.3671,12.21919,23.3,6.2100001,28.5,0.043,5,33.77777778,61.587,2.035,81.967,3.196,NaN,NaN,5.685174779179279,65.9,0.58618159,6.4,12.9,94.7121,124.27
131,Apple Watch SE,NL,Netherlands,Europe & Central Asia,High income,2022-01-02 21:52:31.737975,Apple Watch SE,299.0,EUR,0.8845999836921692,338.0058845943283,521.7208842668117,Netherlands,0.944,82.28,12.4148,57707.06867,0.878,3.1,5.3671,12.21919,23.3,6.2100001,28.5,0.043,5,33.77777778,61.587,2.035,81.967,3.196,NaN,NaN,5.685174779179279,65.9,0.58618159,6.4,12.9,94.7121,124.27
132,Apple Watch Series 3,NL,Netherlands,Europe & Central Asia,High income,2022-01-02 21:52:31.737975,Apple Watch Series 3,219.0,EUR,0.8845999836921692,247.56952751223375,521.7208842668117,Netherlands,0.944,82.28,12.4148,57707.06867,0.878,3.1,5.3671,12.21919,23.3,6.2100001,28.5,0.043,5,33.77777778,61.587,2.035,81.967,3.196,NaN,NaN,5.685174779179279,65.9,0.58618159,6.4,12.9,94.7121,124.27
133,Sportbandje,NL,Netherlands,Europe & Central Asia,High income,2022-01-02 21:52:31.737975,Sport Band,49.0,EUR,0.8845999836921692,55.392268712782894,521.7208842668117,Netherlands,0.944,82.28,12.4148,57707.06867,0.878,3.1,5.3671,12.21919,23.3,6.2100001,28.5,0.043,5,33.77777778,61.587,2.035,81.967,3.196,NaN,NaN,5.685174779179279,65.9,0.58618159,6.4,12.9,94.7121,124.27
134,iPad,NL,Netherlands,Europe & Central Asia,High income,2022-01-02 21:52:31.737975,iPad,389.0,EUR,0.8845999836921692,439.7467863116846,521.7208842668117,Netherlands,0.944,82.28,12.4148,57707.06867,0.878,3.1,5.3671,12.21919,23.3,6.2100001,28.5,0.043,5,33.77777778,61.587,2.035,81.967,3.196,NaN,NaN,5.685174779179279,65.9,0.58618159,6.4,12.9,94.7121,124.27
135,iPad Pro,NL,Netherlands,Europe & Central Asia,High income,2022-01-02 21:52:31.737975,iPad Pro,899.0,EUR,0.8845999836921692,1016.2785627100371,521.7208842668117,Netherlands,0.944,82.28,12.4148,57707.06867,0.878,3.1,5.3671,12.21919,23.3,6.2100001,28.5,0.043,5,33.77777778,61.587,2.035,81.967,3.196,NaN,NaN,5.685174779179279,65.9,0.58618159,6.4,12.9,94.7121,124.27
136,Apple Pencil (2e generatie),NL,Netherlands,Europe & Central Asia,High income,2022-01-02 21:52:31.737975,Apple Pencil (2nd generation),135.0,EUR,0.8845999836921692,152.6113525760345,521.7208842668117,Netherlands,0.944,82.28,12.4148,57707.06867,0.878,3.1,5.3671,12.21919,23.3,6.2100001,28.5,0.043,5,33.77777778,61.587,2.035,81.967,3.196,NaN,NaN,5.685174779179279,65.9,0.58618159,6.4,12.9,94.7121,124.27
137,24-inch iMac²,NL,Netherlands,Europe & Central Asia,High income,2022-01-02 21:52:31.737975,24-inch iMac,1449.0,EUR,0.8845999836921692,1638.028517649437,521.7208842668117,Netherlands,0.944,82.28,12.4148,57707.06867,0.878,3.1,5.3671,12.21919,23.3,6.2100001,28.5,0.043,5,33.77777778,61.587,2.035,81.967,3.196,NaN,NaN,5.685174779179279,65.9,0.58618159,6.4,12.9,94.7121,124.27
138,MacBook Air,NL,Netherlands,Europe & Central Asia,High income,2022-01-02 21:52:31.737975,MacBook Air,1129.1,EUR,0.8845999836921692,1276.3961347674115,521.7208842668117,Netherlands,0.944,82.28,12.4148,57707.06867,0.878,3.1,5.3671,12.21919,23.3,6.2100001,28.5,0.043,5,33.77777778,61.587,2.035,81.967,3.196,NaN,NaN,5.685174779179279,65.9,0.58618159,6.4,12.9,94.7121,124.27
139,Magic Mouse,NL,Netherlands,Europe & Central Asia,High income,2022-01-02 21:52:31.737975,Magic Mouse,85.0,EUR,0.8845999836921692,96.08862939972542,521.7208842668117,Netherlands,0.944,82.28,12.4148,57707.06867,0.878,3.1,5.3671,12.21919,23.3,6.2100001,28.5,0.043,5,33.77777778,61.587,2.035,81.967,3.196,NaN,NaN,5.685174779179279,65.9,0.58618159,6.4,12.9,94.7121,124.27
140,iPhone SE,PT,Portugal,Europe & Central Asia,High income,2022-01-02 21:52:40.018627,iPhone SE,499.0,EUR,0.8845999836921692,564.0967772995646,533.5745067843576,Portugal,0.864,82.05,9.26347,33966.82756,0.761,3.5,14.96519,16.92889,26.7,10.59,33.8,0.075,8,38.69565217,55.086,5.851,69.412,6.334,NaN,NaN,4.024567907916577,127,0.789766806,3.8,14.3,74.661,115.636
141,iPhone 12,PT,Portugal,Europe & Central Asia,High income,2022-01-02 21:52:40.018627,iPhone 12,709.0,EUR,0.8845999836921692,801.4922146400627,533.5745067843576,Portugal,0.864,82.05,9.26347,33966.82756,0.761,3.5,14.96519,16.92889,26.7,10.59,33.8,0.075,8,38.69565217,55.086,5.851,69.412,6.334,NaN,NaN,4.024567907916577,127,0.789766806,3.8,14.3,74.661,115.636
142,AirPods Pro,PT,Portugal,Europe & Central Asia,High income,2022-01-02 21:52:40.018627,AirPods Pro,279.0,EUR,0.8845999836921692,315.3967953238046,533.5745067843576,Portugal,0.864,82.05,9.26347,33966.82756,0.761,3.5,14.96519,16.92889,26.7,10.59,33.8,0.075,8,38.69565217,55.086,5.851,69.412,6.334,NaN,NaN,4.024567907916577,127,0.789766806,3.8,14.3,74.661,115.636
143,AirPods(2.ª geração),PT,Portugal,Europe & Central Asia,High income,2022-01-02 21:52:40.018627,AirPods(2nd generation),149.0,EUR,0.8845999836921692,168.43771506540105,533.5745067843576,Portugal,0.864,82.05,9.26347,33966.82756,0.761,3.5,14.96519,16.92889,26.7,10.59,33.8,0.075,8,38.69565217,55.086,5.851,69.412,6.334,NaN,NaN,4.024567907916577,127,0.789766806,3.8,14.3,74.661,115.636
144,Apple TV 4K,PT,Portugal,Europe & Central Asia,High income,2022-01-02 21:52:40.018627,Apple TV 4K,199.0,EUR,0.8845999836921692,224.9604382417101,533.5745067843576,Portugal,0.864,82.05,9.26347,33966.82756,0.761,3.5,14.96519,16.92889,26.7,10.59,33.8,0.075,8,38.69565217,55.086,5.851,69.412,6.334,NaN,NaN,4.024567907916577,127,0.789766806,3.8,14.3,74.661,115.636
145,Apple Watch SE,PT,Portugal,Europe & Central Asia,High income,2022-01-02 21:52:40.018627,Apple Watch SE,309.0,EUR,0.8845999836921692,349.31042922959006,533.5745067843576,Portugal,0.864,82.05,9.26347,33966.82756,0.761,3.5,14.96519,16.92889,26.7,10.59,33.8,0.075,8,38.69565217,55.086,5.851,69.412,6.334,NaN,NaN,4.024567907916577,127,0.789766806,3.8,14.3,74.661,115.636
146,Apple Watch Series 3,PT,Portugal,Europe & Central Asia,High income,2022-01-02 21:52:40.018627,Apple Watch Series 3,229.0,EUR,0.8845999836921692,258.87407214749555,533.5745067843576,Portugal,0.864,82.05,9.26347,33966.82756,0.761,3.5,14.96519,16.92889,26.7,10.59,33.8,0.075,8,38.69565217,55.086,5.851,69.412,6.334,NaN,NaN,4.024567907916577,127,0.789766806,3.8,14.3,74.661,115.636
147,Bracelete desportiva,PT,Portugal,Europe & Central Asia,High income,2022-01-02 21:52:40.018627,Sport Band,49.0,EUR,0.8845999836921692,55.392268712782894,533.5745067843576,Portugal,0.864,82.05,9.26347,33966.82756,0.761,3.5,14.96519,16.92889,26.7,10.59,33.8,0.075,8,38.69565217,55.086,5.851,69.412,6.334,NaN,NaN,4.024567907916577,127,0.789766806,3.8,14.3,74.661,115.636
148,iPad,PT,Portugal,Europe & Central Asia,High income,2022-01-02 21:52:40.018627,iPad,399.0,EUR,0.8845999836921692,451.0513309469464,533.5745067843576,Portugal,0.864,82.05,9.26347,33966.82756,0.761,3.5,14.96519,16.92889,26.7,10.59,33.8,0.075,8,38.69565217,55.086,5.851,69.412,6.334,NaN,NaN,4.024567907916577,127,0.789766806,3.8,14.3,74.661,115.636
149,iPad Pro,PT,Portugal,Europe & Central Asia,High income,2022-01-02 21:52:40.018627,iPad Pro,909.0,EUR,0.8845999836921692,1027.583107345299,533.5745067843576,Portugal,0.864,82.05,9.26347,33966.82756,0.761,3.5,14.96519,16.92889,26.7,10.59,33.8,0.075,8,38.69565217,55.086,5.851,69.412,6.334,NaN,NaN,4.024567907916577,127,0.789766806,3.8,14.3,74.661,115.636
150,Apple Pencil (2.ª geração),PT,Portugal,Europe & Central Asia,High income,2022-01-02 21:52:40.018627,Apple Pencil (2nd generation),135.0,EUR,0.8845999836921692,152.6113525760345,533.5745067843576,Portugal,0.864,82.05,9.26347,33966.82756,0.761,3.5,14.96519,16.92889,26.7,10.59,33.8,0.075,8,38.69565217,55.086,5.851,69.412,6.334,NaN,NaN,4.024567907916577,127,0.789766806,3.8,14.3,74.661,115.636
151,iMac de 24 polegadas²,PT,Portugal,Europe & Central Asia,High income,2022-01-02 21:52:40.018627,24-inch iMac,1499.0,EUR,0.8845999836921692,1694.551240825746,533.5745067843576,Portugal,0.864,82.05,9.26347,33966.82756,0.761,3.5,14.96519,16.92889,26.7,10.59,33.8,0.075,8,38.69565217,55.086,5.851,69.412,6.334,NaN,NaN,4.024567907916577,127,0.789766806,3.8,14.3,74.661,115.636
152,MacBook Air,PT,Portugal,Europe & Central Asia,High income,2022-01-02 21:52:40.018627,MacBook Air,1159.0,EUR,0.8845999836921692,1310.1967232268444,533.5745067843576,Portugal,0.864,82.05,9.26347,33966.82756,0.761,3.5,14.96519,16.92889,26.7,10.59,33.8,0.075,8,38.69565217,55.086,5.851,69.412,6.334,NaN,NaN,4.024567907916577,127,0.789766806,3.8,14.3,74.661,115.636
153,Magic Mouse,PT,Portugal,Europe & Central Asia,High income,2022-01-02 21:52:40.018627,Magic Mouse,85.0,EUR,0.8845999836921692,96.08862939972542,533.5745067843576,Portugal,0.864,82.05,9.26347,33966.82756,0.761,3.5,14.96519,16.92889,26.7,10.59,33.8,0.075,8,38.69565217,55.086,5.851,69.412,6.334,NaN,NaN,4.024567907916577,127,0.789766806,3.8,14.3,74.661,115.636
154,iPhone SE,BR,Brazil,Latin America & Caribbean,Upper middle income,2022-01-02 21:52:09.264138,iPhone SE,3699.0,BRL,5.660699844360352,653.4527711596021,899.5101812243347,Brazil,0.765,75.88,7.9813,14262.93459,0.57,10.9,21.189,40.961673,42.5,28.349999,53.9,0.408,60,14.98316498,56.165,9.221,70.996,12.083,5.4,3.841,1.3843161980349057,344.2,27.38253029,2.8,9.7,67.4713,98.8435
155,iPhone 12,BR,Brazil,Latin America & Caribbean,Upper middle income,2022-01-02 21:52:09.264138,iPhone 12,5699.0,BRL,5.660699844360352,1006.7659753551155,899.5101812243347,Brazil,0.765,75.88,7.9813,14262.93459,0.57,10.9,21.189,40.961673,42.5,28.349999,53.9,0.408,60,14.98316498,56.165,9.221,70.996,12.083,5.4,3.841,1.3843161980349057,344.2,27.38253029,2.8,9.7,67.4713,98.8435
