,pid,model,price,country_code,country,region,income group,scraped_date,model_en,price2,price_local_currency
53,2,iPhone 12,From $799,CA,Canada,North America,High income,2022-01-02 21:52:10.367290,iPhone 12,799,799.0
55,4,AirPods Pro,$329,CA,Canada,North America,High income,2022-01-02 21:52:10.367290,AirPods Pro,329,329.0
56,5,AirPods(2nd generation),$179,CA,Canada,North America,High income,2022-01-02 21:52:10.367290,AirPods(2nd generation),179,179.0
58,7,Apple TV 4K,$229,CA,Canada,North America,High income,2022-01-02 21:52:10.367290,Apple TV 4K,229,229.0
59,8,Apple Watch SE,From $369,CA,Canada,North America,High income,2022-01-02 21:52:10.367290,Apple Watch SE,369,369.0
60,9,Apple Watch Series 3,From $249,CA,Canada,North America,High income,2022-01-02 21:52:10.367290,Apple Watch Series 3,249,249.0
61,10,Sport Band,$59,CA,Canada,North America,High income,2022-01-02 21:52:10.367290,Sport Band,59,59.0
62,11,iPad,From $429,CA,Canada,North America,High income,2022-01-02 21:52:10.367290,iPad,429,429.0
63,12,iPad Pro,From $999,CA,Canada,North America,High income,2022-01-02 21:52:10.367290,iPad Pro,999,999.0
64,13,Apple Pencil (2nd generation),$169,CA,Canada,North America,High income,2022-01-02 21:52:10.367290,Apple Pencil (2nd generation),169,169.0
65,14,24-inch iMac²,From $1599,CA,Canada,North America,High income,2022-01-02 21:52:10.367290,24-inch iMac,1599,1599.0
66,15,MacBook Air,From $1299,CA,Canada,North America,High income,2022-01-02 21:52:10.367290,MacBook Air,1299,1299.0
67,16,Magic Mouse,$89,CA,Canada,North America,High income,2022-01-02 21:52:10.367290,Magic Mouse,89,89.0
69,1,iPhone SE,Od 11 690 Kč,CZ,Czech Republic,Europe & Central Asia,High income,2022-01-02 21:52:12.701576,iPhone SE,11690,11690.0
70,2,iPhone 12,Od 16 990 Kč,CZ,Czech Republic,Europe & Central Asia,High income,2022-01-02 21:52:12.701576,iPhone 12,16990,16990.0
72,4,AirPods Pro,7 290 Kč,CZ,Czech Republic,Europe & Central Asia,High income,2022-01-02 21:52:12.701576,AirPods Pro,7290,7290.0
73,5,AirPods(2. generace),3 790 Kč,CZ,Czech Republic,Europe & Central Asia,High income,2022-01-02 21:52:12.701576,AirPods(2nd generation),3790,3790.0
75,7,Apple TV 4K,4 990 Kč,CZ,Czech Republic,Europe & Central Asia,High income,2022-01-02 21:52:12.701576,Apple TV 4K,4990,4990.0
76,8,Apple Watch SE,Od 7 990 Kč,CZ,Czech Republic,Europe & Central Asia,High income,2022-01-02 21:52:12.701576,Apple Watch SE,7990,7990.0
77,9,Apple Watch Series 3,Od 5 490 Kč,CZ,Czech Republic,Europe & Central Asia,High income,2022-01-02 21:52:12.701576,Apple Watch Series 3,5490,5490.0
78,10,Sportovní řemínek,1 290 Kč,CZ,Czech Republic,Europe & Central Asia,High income,2022-01-02 21:52:12.701576,Sport Band,1290,1290.0
79,11,iPad,Od 9 990 Kč,CZ,Czech Republic,Europe & Central Asia,High income,2022-01-02 21:52:12.701576,iPad,9990,9990.0
80,12,iPad Pro,Od 22 990 Kč,CZ,Czech Republic,Europe & Central Asia,High income,2022-01-02 21:52:12.701576,iPad Pro,22990,22990.0
81,13,Apple Pencil (2. generace),3 490 Kč,CZ,Czech Republic,Europe & Central Asia,High income,2022-01-02 21:52:12.701576,Apple Pencil (2nd generation),3490,3490.0
82,14,24palcový iMac²,Od 37 990 Kč,CZ,Czech Republic,Europe & Central Asia,High income,2022-01-02 21:52:12.701576,24-inch iMac,37990,37990.0
83,15,MacBook Air,Od 29 990 Kč,CZ,Czech Republic,Europe & Central Asia,High income,2022-01-02 21:52:12.701576,MacBook Air,29990,29990.0
84,16,Magic Mouse,2 290 Kč,CZ,Czech Republic,Europe & Central Asia,High income,2022-01-02 21:52:12.701576,Magic Mouse,2290,2290.0
