,Land,HDI,Life expactancy at birth in years,Mean years of schooling in years,Gross national income (GNI) per capita in US$,IHDI,Inequality in life expectancy in%,Inequality in education in %,Inequality in income in %,Income Shares of top 1%,Income Shares of top 1%,GINI,Gender Inequality Index,Maternal mortality ratio per 100.000,Share of female seats in parliament in %,Employment to population ratio,Employment in agriculture in % ,Employment in services in %,Unemployment in %,Child labour in %,Working poor at PPP$3.20 a day in %,High-skill to low-skill ratio,Prison population per 100.000,Homocide rate per 100.000,Suicide rate (female) per 100.000,Suicide rate (male) per 100.000,Internet User in %,Mobile phone subscriptions per 100 people
101,Jordan,0.729,74.53,10.518,9858.487276,0.622,10.6,15.4,17.91185,27.5,16.1,33.7,0.45,46,15.38461538,33.521,3.084,72.401,14.715,1.7,1.356,NaN,160.4,1.359106628,2.7,4.7,66.7903,87.6215
102,Paraguay,0.728,74.25,8.53508,12223.94045,0.557,13.8,16.71896,37.799,35.9,NaN,46.2,0.446,84,16.8,68.627,20.13,61.711,4.809,17.85,1.618,0.9144798237033539,210.3,7.144839995,6.2,12.3,64.9935,106.953
103,Tonga,0.725,70.91,11.24,6364.577962,NaN,10.4,4.5,NaN,29.7,NaN,37.6,0.354,52,7.407407407,59.083,24.189,46.706,1.117,NaN,NaN,3.853846153846154,174.3,NaN,2.9,5.2,41.2487,105.824
104,Libya,0.724,72.91,7.599985,15687.71357,NaN,9.1,NaN,NaN,NaN,13.49,NaN,0.252,72,15.95744681,40.463,18.905,59.173,18.563,NaN,0.356,NaN,97.2,NaN,2.3,8.7,21.7589,91.4793
105,Uzbekistan,0.72,71.73,11.8072,7141.953943,NaN,13.9,0.7,NaN,NaN,NaN,NaN,0.288,29,16.4,61.21,23.924,46.597,5.917,NaN,37.196,NaN,144.3,1.135802775,4.6,10.3,52.3051,75.925
106,Bolivia (Plurinational State of),0.718,71.51,9.017540839,8553.783786,0.546,22.5,17.56781022,31.169242,30.4,NaN,42.2,0.417,155,51.80722892,69.301,30.709,49.882,3.498,NaN,9.98,2.4974702270159685,160.3,6.218374444,8.9,16.9,43.8323,100.816
107,Indonesia,0.718,71.72,8.16668,11459.09692,0.59,13.9,16.15374573,23.13405473,30.4,NaN,39,0.48,177,17.39130435,64.333,28.635,48.911,4.687,NaN,21.474,0.6515721553132523,95.7,0.434534589,2.2,5.2,39.7875,119.838
108,Philippines,0.718,71.23,9.393091398,9777.798117,0.587,15.3,10.1,28.1,34.8,NaN,44.4,0.43,121,28.04878049,58.339,23.405,57.157,2.15,NaN,18.265,0.7907494869868205,182.5,6.464988165,2.3,5.2,60.0548,110.128
109,Belize,0.716,74.62,9.921731875,6381.597682,0.554,11.1,15.9,37.9,NaN,NaN,NaN,0.415,36,11.11111111,60.884,16.846,67.454,6.413,3.3,7.114,0.7680671730282345,344.9,37.78857029,2,9.9,47.0826,85.527
110,Samoa,0.715,73.32,10.77921,6308.652491,NaN,10,4.9,NaN,31.3,NaN,38.7,0.36,43,10,40.033,30.394,46.542,8.359,NaN,NaN,2.5041557824744713,205.1,3.146105122,2.2,8.7,33.6109,63.5832
111,Turkmenistan,0.715,68.19,10.27379667,14908.6706,0.586,23.4,2.94467,26.20491,NaN,NaN,NaN,NaN,7,25,61.959,19.883,37.718,3.913,0.28084,14.474,NaN,528.9,NaN,3.7,11,21.251,162.861
112,Venezuela (Bolivarian Republic of),0.711,72.06,10.30728,7044.638972,0.588,17.1,8.8,25.2,NaN,NaN,NaN,0.479,125,22.15568862,54.473,8.306,75.069,8.801,NaN,18.764,46.56813293835978,194.2,36.68763484,1.2,6.6,72,71.7661
113,South Africa,0.709,64.13,10.24064634,12129.23006,0.468,19.2,17.29413,56.996,50.5,19.21,63,0.406,119,45.33333333,40.231,5.088,72.006,28.181,3.6,17.096,0.8059882678309022,284,36.39917415,5.1,21.7,56.1674,153.25
114,"Palestine, State of",0.708,74.05,9.16551,6417.389121,0.613,12,11.592,16.61632726,25.2,15.809999,33.7,NaN,27,NaN,32.366,6.085,62.282,26.169,9.38247,1.377,1.4011589149274397,22.2,0.49352475,NaN,NaN,64.4,89.4854
115,Egypt,0.707,71.99,7.434,11466.14512,0.497,11.6,38.1,36.5,26.9,15.790001,31.5,0.449,37,14.93288591,41.419,23.792,48.528,10.76,4.79,11.885,3.680724697983362,112.2,NaN,1.7,7.2,46.9243,95.2866
116,Marshall Islands,0.704,74.11,10.8856786,5039.043833,NaN,NaN,4.3,NaN,NaN,NaN,NaN,NaN,NaN,6.060606061,NaN,NaN,NaN,NaN,NaN,NaN,NaN,61.4,NaN,NaN,NaN,38.7012,27.5586
117,Viet Nam,0.704,75.4,8.32,7432.706806,0.588,12.9,17.6,19.133,27.5,NaN,35.7,0.296,43,26.72064777,75.888,37.358,35,2.013,13.12,6.16,0.3276404154669745,137.4,NaN,3.4,10.8,70.3496,147.195
118,Gabon,0.703,66.47,8.698,13929.80613,0.544,22.8,23.5,21.2,27.7,10.9,38,0.525,252,17.94871795,42.314,32.831,56.415,20.004,19.59701,5.254,NaN,173.2,NaN,4.3,15,62,138.281
119,Kyrgyzstan,0.697,71.45,11.10481377,4864.390351,0.63,11.3,3.36425,13.83059,23.6,NaN,27.7,0.369,60,19.16666667,56.044,21.172,54.759,6.33,22.3,13.686,0.7500447376035028,177.1,2.189077613,3.7,14.8,38,122.57
120,Morocco,0.686,76.68,5.648,7368.360268,NaN,13,NaN,NaN,31.9,14.95,39.5,0.454,70,18.44660194,41.22,34.69,43.598,9.019,NaN,4.967,0.4509802702117762,232.5,1.415522885,3.6,2.5,64.8039,124.172
121,Guyana,0.682,69.91,8.489781305,9455.014358,0.556,19,10.7,25.1,NaN,NaN,NaN,0.462,169,31.88405797,49.524,17.137,60.041,11.852,10.84,4.957,0.9684918745471484,275.2,14.24890919,14.2,46.6,37.3258,82.9711
122,Iraq,0.674,70.6,7.316,10800.83898,0.541,15.9,29.7,12.67895,23.7,22.02,29.5,0.577,79,25.22796353,37.484,18.099,59.58,12.822,4.5,6.774,1.2952583118234002,105,10.07025321,3.4,4.7,49.36,94.883
123,El Salvador,0.673,73.32,6.907268,8359.115144,0.529,12.5,29.0996829,21.811224,29.4,NaN,38.6,0.383,46,30.95238095,56.668,16.281,61.586,4.11,10,4.412,0.5261460712947795,617.4,52.01892617,4.3,24.8,33.8207,146.913
124,Tajikistan,0.668,71.1,10.7337,3953.598166,0.584,16.7,6.03825,14.5,26.4,NaN,34,0.314,17,20,37.391,44.921,39.364,11.017,NaN,15.867,0.9439968264367434,NaN,NaN,1.7,5,21.96,111.528
125,Cabo Verde,0.665,72.98,6.287719287,7019.168144,NaN,12.2,23.7,NaN,32.3,NaN,42.4,0.397,58,23.61111111,53.049,11.46,66.549,12.249,NaN,10.935,0.7512268863377444,288.1,6.804422507,7.7,24.1,58.1714,112.241
126,Guatemala,0.663,74.3,6.62261,8494.085111,0.481,14.6,30.8,35.4,38.1,NaN,48.3,0.479,95,19.375,60.817,31.49,49.964,2.459,NaN,12.902,0.30413411770494486,140.9,22.50134872,1.7,4.4,65,118.667
127,Nicaragua,0.66,74.49,6.912,5283.658869,0.505,13.1,25.7,30.693801,37.2,NaN,46.2,0.428,98,44.56521739,61.864,30.652,53.415,6.837,NaN,22.974,0.39063091409274775,323.5,7.185947903,5,19.2,27.863,115.096
128,Bhutan,0.654,71.78,4.0738,10745.84396,0.476,17.1,41.7,20,27.9,NaN,37.4,0.421,183,15.27777778,65.152,55.315,33.917,2.342,3.50301,11.17,4.135524652338812,155.6,1.193007386,8.9,13.8,48.1064,93.2616
129,Namibia,0.646,63.71,6.99,9356.673607,0.418,22.1,25,53.6,47.3,21.5,59.1,0.44,195,36.95652174,47.464,22.133,61.594,20.273,NaN,14.632,0.6531446855314468,313.8,NaN,4.9,19.4,51,112.702
130,India,0.645,69.66,6.5,6681.346904,0.475,19.7,38.7,18.79302,31.7,21.340001,37.8,0.488,133,13.48600509,46.653,42.385,32.038,5.355,NaN,42.375,0.6301881529043267,32.7,3.079232442,14.5,18.5,34.45,86.9426
131,Honduras,0.634,75.27,6.573452,5308.452598,0.472,13.3,23.34273802,37.819458,39.1,NaN,52.1,0.423,65,21.09375,65.067,30.26,49.767,5.386,NaN,23.062,0.5477091678664692,216.2,38.9255911,1.7,5.3,31.7,79.1503
132,Bangladesh,0.632,72.59,6.219339024,4976.209148,0.478,17.3,37.31177,16.55655,26.8,NaN,32.4,0.537,173,20.63037249,56.521,38.577,40.164,4.19,NaN,42.612,0.4842642024063942,51.6,2.373328796,6.7,5.5,15,97.2812
133,Kiribati,0.63,68.37,7.984461822,4259.732067,0.516,24.7,9.63653,19.35687,NaN,NaN,NaN,NaN,92,6.52173913,NaN,NaN,NaN,NaN,NaN,NaN,1.188280675973549,114.2,NaN,5.4,25.9,14.5818,46.6132
134,Sao Tome and Principe,0.625,70.39,6.436763183,3952.072482,0.52,17,18.3,14.9,49.2,8.7899998,56.3,0.537,130,14.54545455,50.064,19.095,62.472,13.369,18.16,NaN,0.8276668083297917,119.9,NaN,2.1,4.2,29.9312,77.0561
135,Micronesia (Federated States of),0.62,67.88,7.804956,3982.736516,NaN,16.1,NaN,26.4,29.7,NaN,40.1,NaN,88,0,NaN,NaN,NaN,NaN,NaN,NaN,1.607037401574803,123.4,NaN,6.2,16.2,35.3041,20.7377
136,Lao People's Democratic Republic,0.613,67.92,5.288,7413.33163,0.461,22.6,31.3,20.3,29.8,NaN,36.4,0.459,185,27.51677852,77.982,62.422,25.685,0.626,28.2,35.624,2.7623036803924177,121.7,NaN,6.1,12.9,25.5104,51.8634
137,Eswatini (Kingdom of),0.611,60.19,6.855161078,7919.058294,0.432,25.1,24.1,37.9,42.7,18.2,54.6,0.567,437,12.12121212,40.91,12.458,63.75,22.083,7.77351,13.479,0.9998096362148066,304,11.55752804,9.6,25.4,47,93.5273
138,Ghana,0.611,64.07,7.306,5268.919684,0.44,24.2,35.10167,24.14249,32.2,15.12,43.5,0.538,308,13.09090909,64.862,29.265,48.959,4.331,19.9,21.463,2.121142453235785,48.6,2.091241017,2.9,15.8,39,137.517
139,Vanuatu,0.609,70.47,7.064846,3104.799016,NaN,14.4,NaN,19.7,29.4,NaN,37.6,NaN,72,0,66.811,55.842,37.843,4.385,15.62946,NaN,0.7809086395233368,69.1,NaN,2.7,8.1,25.7198,79.8627
140,Timor-Leste,0.606,69.5,4.794383,4440.457586,0.436,21.7,44.9,13.58745,24,NaN,28.7,NaN,142,38.46153846,64.275,44.482,45.852,4.548,NaN,62.645,0.8219982136021436,54.8,4.095983095,3.7,9,27.4927,103.241
141,Nepal,0.602,70.78,5.014,3456.706213,0.446,17.5,40.9,16.3,26.4,NaN,32.8,0.452,186,33.53293413,82.626,65.004,19.859,1.407,21.71,33.449,0.6800606609627392,68.3,2.299783996,8,11.4,34,139.446
142,Kenya,0.601,66.7,6.564,4243.62556,0.443,22.5,22.9,33.1,31.6,15.019999,40.8,0.518,342,23.26139089,72.722,54.44,38.249,2.642,NaN,55.459,NaN,101.6,4.928728024,2.1,9.7,17.8271,96.3202
143,Cambodia,0.594,69.82,4.966,4246.178107,0.475,18.1,27.3,14.3,NaN,NaN,NaN,0.474,160,19.2513369,81.756,32.297,38.702,0.677,12.6,36.831,0.46548835218046003,190.8,NaN,3.2,9,40,119.492
144,Equatorial Guinea,0.592,58.74,5.910863,13944.13223,NaN,34.6,NaN,NaN,NaN,17.33,NaN,NaN,301,19.18604651,57.981,42.357,38.577,6.433,NaN,24.944,NaN,42.8,NaN,10.8,31.3,26.24,45.1669
145,Zambia,0.584,63.89,7.152016,3325.518591,0.401,26.5,20.43572,44.84022,44.4,23.08,57.1,0.539,213,17.96407186,66.091,48.839,40.327,11.425,23,63.993,1.0344556902504756,148.3,5.371749635,6.2,17.5,14.3,89.157
146,Myanmar,0.583,67.13,5.034490583,4960.528169,NaN,22.8,26.9,NaN,25.5,NaN,30.7,0.478,250,11.56773212,60.693,48.889,34.964,1.577,9.9,17.088,0.26052002887839204,171.3,2.258451326,9.8,6.3,30.6782,113.844
147,Angola,0.581,61.15,5.173993233,6104.05464,0.397,32,34.3,28.9,39.6,15.180001,51.3,0.536,241,30,72.157,50.38,41.498,6.886,18.72365,53.323,1.485406637274733,79.4,NaN,4.6,14,14.3391,43.1305
148,Congo,0.574,64.57,6.517170529,2879.190985,0.43,22.8,20.9,31,37.9,20.41,48.9,0.57,378,13.63636364,62.87,34.13,44.014,9.472,14.12474,59.005,NaN,26.2,NaN,5,13.9,8.65,95.3405
149,Zimbabwe,0.571,61.49,8.4668,2665.612042,0.441,24.2,14.60503,28.76901,34.8,17.209999,44.3,0.527,458,34.57142857,78.982,66.544,26.873,4.954,27.9,43.144,0.5175880479933623,137.1,NaN,11.1,29.1,27.0555,89.4049
150,Solomon Islands,0.567,73.0,5.711848,2253.346153,NaN,12.1,NaN,19.4,29.2,NaN,37.1,NaN,104,4.081632653,83.353,37.593,52.861,0.576,17.86,49.053,4.985787429378531,75,NaN,3.2,8.5,11.9242,73.8338
151,Syrian Arab Republic,0.567,72.7,5.1,3613.05256,NaN,13,NaN,NaN,NaN,14.68,NaN,0.482,31,13.2,40.422,10.729,62.719,8.37,NaN,53.838,1.6415886531699133,NaN,0.879312215,1.1,3.8,34.2534,98.374
152,Cameroon,0.563,59.29,6.310862,3580.902737,0.375,33.5,31.71699,34.98911,35,15.73,46.6,0.56,529,29.28571429,73.501,43.437,41.612,3.38,38.9,33.593,1.706378043922579,129.6,1.388093415,12.5,26.9,23.203,69.0854
153,Pakistan,0.557,67.27,5.158944258,5005.034893,0.384,29.9,43.5,17.23416,28.9,NaN,33.5,0.538,140,20,50.232,36.661,38.013,4.453,12.8,27.232,0.7239641567233207,39.4,3.88308273,3.1,3,15.51,72.5571
154,Papua New Guinea,0.555,64.5,4.66,4301.098542,0.39,24.1,35.65204,28.89932,31,NaN,41.9,0.725,145,0,46.032,58.316,35.049,2.459,NaN,44.796,0.25243145951852924,59.1,NaN,3.8,10.2,11.2092,47.6177
155,Comoros,0.554,64.32,5.078649,3099.445776,0.303,28.9,47.6,56,33.7,14.06,45.3,NaN,273,6.060606061,41.405,50.375,36.594,4.336,28.47181,29.309,4.86106680843523,27,NaN,5.4,17.6,8.47817,59.9411
156,Mauritania,0.546,64.93,4.726,5134.570124,0.371,30,40.8,24.6,24.9,10.6,32.6,0.634,766,20.26143791,41.503,51.274,35.785,9.548,14,15.937,9.947053666478803,46.1,NaN,3.6,12.1,20.801,103.706
157,Benin,0.545,61.77,3.826328,3254.245627,0.343,34.9,43.7,32,37.6,17.5,47.8,0.612,397,7.228915663,69.285,38.578,42.429,2.232,24.8,67.495,NaN,69.8,1.127497407,9.6,22.6,20,82.3843
158,Uganda,0.544,63.37,6.171951533,2123.26935,0.399,27.2,27.9,24.94038796,34.2,16.850001,42.8,0.535,375,34.8583878,69.04,72.666,20.731,1.843,18.1,65.45,0.7525913569272515,118.8,10.52446028,18.7,21.2,23.7065,57.2726
159,Rwanda,0.543,69.02,4.417150539,2155.334054,0.387,19.5,29.3,36.4,35.6,NaN,43.7,0.402,248,55.66037736,82.793,62.406,28.702,1.03,19,74.211,0.16755604734067972,509.1,2.577168608,6,16.9,21.7676,78.8541
160,Nigeria,0.539,54.69,6.65519163,4910.208257,0.348,37.1,40.41507,28.05169,32.7,15.260001,43,NaN,917,4.112554113,48.623,35.098,52.669,8.096,31.48,61.978,6.679361094347214,36.5,34.5240459,17.1,17.5,42,88.1842
161,Côte d'Ivoire,0.538,57.78,5.288,5068.606313,0.346,33.3,45.60904,27.04145,31.9,17.08,41.5,0.638,617,13.27683616,55.064,40.049,46.783,3.317,22.1,48.175,1.0962669022294467,66,NaN,13,32,46.8237,134.858
162,Tanzania (United Republic of),0.529,65.46,6.122,2599.847211,0.397,25.3,27,22.4,33.1,16.17,40.5,0.556,524,36.8956743,81.761,65.306,27.943,1.98,24.8,68.542,0.31900180652126026,66.8,6.48265759,5.4,14.3,25,77.2414
163,Madagascar,0.528,67.04,6.1,1596.28108,0.39,21.1,29.34582,27.557,33.5,15.019999,42.6,NaN,335,16.90140845,84.613,64.222,26.791,1.758,NaN,85.319,0.07966717088760662,94.9,NaN,3.6,10.5,9.8,40.5703
164,Lesotho,0.527,54.33,6.53928325,3150.620131,0.382,33.1,19.55712,29.57664,32.9,18.95,44.9,0.553,544,23.02631579,51.996,8.536,49.241,23.405,13.9,60.631,0.24126661508436015,101.5,43.56460456,32.6,22.7,29,113.831
165,Djibouti,0.524,67.11,4.1,5689.348966,NaN,23.4,NaN,27.7,32.3,15.74,41.6,NaN,248,26.15384615,54.041,33.122,53.808,10.295,NaN,NaN,NaN,69,NaN,5.3,11.9,55.6814,41.1959
166,Togo,0.515,61.04,4.949925584,1602.34934,0.351,30.5,37.72766,26.85326,31.6,13.74,43.1,0.573,396,16.48351648,76.011,37.699,49.419,2.038,22.62,61.649,1.8892141951837769,64.8,NaN,10.9,22.7,12.3602,77.8861
167,Senegal,0.512,67.94,3.183085,3309.385734,0.348,21.2,46.36412,25.89114,31,13.04,40.3,0.533,315,41.81818182,42.667,30.046,56.45,6.604,22.84003,59.954,0.4532506945220736,78.8,0.267518152,5.2,20.3,46,104.451
168,Afghanistan,0.511,64.83,3.93,2229.362021,NaN,28.3,45.4,NaN,NaN,NaN,NaN,0.655,638,27.24358974,43.456,42.839,38.999,11.118,21.39,66.288,0.3878653217582694,82.7,6.655561152,2.1,10.6,13.5,59.1208
169,Haiti,0.51,64.0,5.592369636,1708.809043,0.303,32.2,37.3,50.43867,31.2,NaN,41.1,0.636,480,2.739726027,57.926,28.659,64.654,13.781,35.50205,40.13,NaN,79.9,6.67974266,6.4,18.3,32.4736,57.5289
170,Sudan,0.51,65.31,3.77,3828.660219,0.333,27.4,42.5,33,27.8,11.16,34.2,0.545,295,27.53623188,40.43,39.939,43.842,16.535,18.11,21.502,NaN,51.5,NaN,4.6,14.5,30.8703,72.0079
171,Gambia,0.496,62.05,3.922,2167.883472,0.335,28.5,47.65805,17.46726,28.7,13.420001,35.9,0.612,597,10.34482759,54.021,27.121,57.194,9.056,16.9,31.629,0.4689393131083212,55.4,NaN,7.3,12.8,19.8365,139.529
172,Ethiopia,0.485,66.6,2.883189,2206.534378,0.348,24.9,43.5,13.3515,28.5,14.26,35,0.517,401,37.28571429,77.895,66.129,23.679,2.081,48.56393,63.015,0.1594004471846822,115.9,NaN,4.7,18.7,18.6181,36.2007
173,Malawi,0.483,64.26,4.73,1034.677638,0.345,25.1,28.4,32.4,38.1,31.07,44.7,0.565,349,22.91666667,72.381,43.649,42.545,5.653,19.38,86.898,0.18501669067241183,76.8,NaN,3.2,13.7,13.7822,39.0058
174,Congo (Democratic Republic of the),0.48,60.68,6.76008,1062.543004,0.335,36.1,26.76947,27.63249,32,18.13,42.1,0.617,473,11.98686371,60.774,65.431,24.821,4.236,26.74,86.533,0.901890403302546,27,NaN,4.9,15,8.6199,43.3822
175,Guinea-Bissau,0.48,58.32,3.5626,1996.042927,0.3,32.3,41.9,37.9,42,19.320001,50.7,NaN,667,13.7254902,70.19,68.138,24.859,2.466,36.2031,78.913,NaN,32.6,1.148704753,6.1,8.9,3.93051,78.9889
176,Liberia,0.48,64.1,4.806,1258.410853,0.325,29.8,42.9,22.7,27.1,12.03,35.3,0.65,661,11.65048544,74.167,43.273,46.51,2.814,14,69.405,0.7569150243634417,50.3,NaN,13,13.8,7.98448,56.569
177,Guinea,0.477,61.6,2.774225,2405.181497,0.313,31.3,50.12411,17.83777,26.4,12.35,33.7,NaN,576,22.80701754,58.89,61.742,32.102,4.296,24.18837,63.533,NaN,26.5,NaN,8.4,12.7,18,96.115
178,Yemen,0.47,66.13,3.2,1593.704031,0.321,24.7,46.1,21.8,29.4,15.700001,36.7,0.795,164,0.970873786,33.094,28.976,60.976,12.91,NaN,85.079,1.5295193643844025,54.2,6.772149422,6.2,13.4,26.7184,55.175
179,Eritrea,0.459,66.32,3.9,2793.482718,NaN,21.4,NaN,NaN,NaN,14.26,NaN,NaN,480,22,74.355,61.213,30.339,5.144,NaN,75.119,NaN,NaN,NaN,6.1,22.4,1.30891,20.364
180,Mozambique,0.456,60.85,3.540898438,1250.405688,0.316,29.8,33.8,28.4,45.5,30.919999,54,0.523,289,41.2,75.566,70.335,21.215,3.241,NaN,73.841,0.8806563991010652,63.5,NaN,4.1,14,10,47.7158
181,Burkina Faso,0.452,61.58,1.644298557,2132.95557,0.316,32,39.2,17.3,29.6,14.300001,35.3,0.594,320,13.38582677,62.268,25.225,41.073,6.264,42.00244,69.075,1.2859772121823025,41.1,1.25044052,9.1,22.4,16,97.9123
182,Sierra Leone,0.452,54.7,3.7,1667.844447,0.291,39,46.9,17.73822,29.4,10.51,35.7,0.644,1120,12.32876712,55.333,54.931,38.612,4.428,25.2,75.163,2.9623976038396305,59.1,1.728967838,14.2,18.2,9,88.4699
183,Mali,0.434,59.31,2.352954412,2268.77278,0.289,36.7,43.85965,16.56372,25.7,9.5299996,33,0.671,562,9.523809524,65.697,62.591,29.83,7.224,13.2,76.148,2.0385913251094308,30.8,NaN,4.7,13.5,13,115.085
184,Burundi,0.433,61.58,3.287982742,753.9087475,0.303,28.5,39.5,20.9,31,14.55,38.6,0.504,548,38.75,78.024,92.023,6.512,1.427,30.92166,89.362,5.2048591938155715,98.3,6.054537366,7.7,23.1,2.66075,56.5347
185,South Sudan,0.433,57.85,4.8,2003.318894,0.276,36.2,39.6,32.3,33.2,14.129999,46.3,NaN,1150,26.55889145,63.523,56.875,29.235,12.244,NaN,NaN,NaN,60.7,NaN,4.1,8.3,7.97743,33.463
186,Chad,0.398,54.24,2.52368,1555.373575,0.248,40.9,43,28.4,32.4,15.59,43.3,0.71,1140,14.88095238,69.362,76.556,21.344,1.891,38.95,61.738,NaN,56.2,NaN,13.8,17.1,6.5,45.1237
187,Central African Republic,0.397,53.28,4.282,993.0088419,0.232,40.1,34.5,49.2,46.2,30.860001,56.2,0.68,829,8.571428571,69.307,77.323,17.273,3.68,30.45911,82.457,NaN,17,20.12040065,6,18,4.33925,27.6743
188,Niger,0.394,62.42,2.079048967,1200.898463,0.284,30.9,35,16.4,27,11.41,34.3,0.642,509,16.95906433,71.7,75.063,17.743,0.475,34.39538,73.823,1.5539007126140827,42.6,NaN,6.7,11.5,5.25049,40.6385
