,Land,HDI,Life expactancy at birth in years,Mean years of schooling in years,Gross national income (GNI) per capita in US$,IHDI,Inequality in life expectancy in%,Inequality in education in %,Inequality in income in %,Income Shares of top 1%,Income Shares of top 1%,GINI,Gender Inequality Index,Maternal mortality ratio per 100.000,Share of female seats in parliament in %,Employment to population ratio,Employment in agriculture in % ,Employment in services in %,Unemployment in %,Child labour in %,Working poor at PPP$3.20 a day in %,High-skill to low-skill ratio,Prison population per 100.000,Homocide rate per 100.000,Suicide rate (female) per 100.000,Suicide rate (male) per 100.000,Internet User in %,Mobile phone subscriptions per 100 people
22,Korea (Republic of),0.916,83.03,12.21376462,43043.71057,0.815,3,8.836,20.24,23.8,12.16,31.6,0.064,11,16.66666667,60.358,4.879,69.994,4.148,NaN,0.048,3.0320366618432857,105.9,0.603849393,11.6,29.6,95.8983,129.673
23,Luxembourg,0.916,82.25,12.31145,72711.67412,0.826,3.4,6.29069,18.99091,25.8,11.93,34.9,0.065,5,25,56.146,1.007,87.295,5.363,NaN,NaN,7.935228710902188,107.6,0.337886923,5.8,15,97.0613,132.165
24,Spain,0.904,83.57,10.25178,40974.52408,0.783,3,16.86947,19.46657,25.4,11.89,34.7,0.07,4,41.85667752,49.467,4.091,75.626,13.959,NaN,NaN,2.67737798007336,126.1,0.621079928,3.1,9.3,86.1072,115.871
25,France,0.901,82.66,11.4795,47172.53748,0.82,3.8,9.48623,13.49257,25.8,11.15,31.6,0.049,8,36.86486486,50.48,2.443,77.471,8.427,NaN,NaN,4.983705747766622,106.4,1.198636503,6.5,17.9,82.0435,108.408
26,Czechia,0.9,79.38,12.72238228,38108.56662,0.86,3,1.38824,8.88405,21.5,10.05,24.9,0.136,3,20.6405694,59.388,2.718,59.994,1.933,NaN,NaN,6.189054541743591,202.3,0.620240593,4.2,17.2,80.6882,119.174
27,Malta,0.895,82.53,11.32613,39554.52078,0.823,4.6,6.18818,13.01089,23.3,11.4,29.2,0.175,6,14.92537313,54.564,0.989,80.702,3.473,NaN,NaN,5.454242204496012,141,1.593607358,2.8,10.3,81.4031,140.204
28,Estonia,0.892,78.75,13.14306146,36019.26692,0.829,3.6,2.28057,14.78369,22.5,11.11,30.4,0.086,9,29.7029703,60.308,3.184,67.28,5.115,NaN,NaN,5.635168995042812,195.3,2.116541299,4.4,25.6,89.357,145.438
29,Italy,0.892,83.51,10.37955,42776.35692,0.783,3.1,10.60056,21.76434,26.7,8.7300003,35.9,0.069,2,35.26315789,44.655,3.684,70.444,9.887,NaN,NaN,3.31604652854809,100.8,0.569050661,2.6,8.4,74.3872,137.467
30,United Arab Emirates,0.89,77.97,12.11122,67462.0953,NaN,5.2,18.2,NaN,21.4,22.81,32.5,0.079,3,50,80.166,1.41,64.231,2.348,NaN,0.417,1.8550834402275889,106.6,0.463782488,0.8,3.5,98.45,208.505
31,Greece,0.888,82.24,10.55207,30154.63438,0.791,3.5,11.06794,17.80155,25.9,13.37,34.4,0.116,3,20.66666667,42.844,11.982,72.804,17.238,NaN,NaN,4.296493596526435,101.3,0.940863945,1.5,6.1,72.9521,115.667
32,Cyprus,0.887,80.98,12.17123,38206.84049,0.805,3.6,10.47803,13.21694,25.5,11.63,31.4,0.086,6,17.85714286,58.472,2.071,81.501,7.274,NaN,NaN,2.5759785578780656,52.1,1.261286411,1.9,7.2,84.4336,100.934
33,Lithuania,0.882,75.93,13.07721,35798.67041,0.791,5.5,3.88094,20.57362,28.4,10.39,37.3,0.124,8,21.27659574,57.704,6.873,67.211,6.352,NaN,NaN,4.633652360379679,231.5,4.569356042,6.7,47.5,79.7226,164.279
34,Poland,0.88,78.73,12.47232,31622.55302,0.813,4.3,4.93736,13.47713,23.5,13.99,29.7,0.115,2,27.85714286,54.731,9.235,58.826,3.474,NaN,NaN,6.952155993664502,192,0.7304547,3.4,23.9,77.5417,134.748
35,Andorra,0.868,81.91,10.50176,56000.30336,NaN,NaN,10.00815435,NaN,NaN,NaN,NaN,NaN,NaN,46.42857143,NaN,NaN,NaN,NaN,NaN,NaN,NaN,63.6,0,NaN,NaN,91.5675,107.283
36,Latvia,0.866,75.29,13.03085,30282.39353,0.783,5.4,2.53011,19.5844,26.9,10.9,35.6,0.176,19,30,57.408,6.75,69.518,6.52,NaN,NaN,3.266453558815189,182.7,4.355804966,5.1,31,83.5772,107.349
37,Portugal,0.864,82.05,9.26347,33966.82756,0.761,3.5,14.96519,16.92889,26.7,10.59,33.8,0.075,8,38.69565217,55.086,5.851,69.412,6.334,NaN,NaN,4.024567907916577,127,0.789766806,3.8,14.3,74.661,115.636
38,Slovakia,0.86,77.54,12.69315651,32113.04569,0.807,5,1.55613,11.67745,19.9,5.3300001,25.2,0.191,5,20,56.23,2.184,61.565,5.561,NaN,NaN,4.921979804963451,188.8,1.136985269,2.6,18.4,80.6603,132.802
39,Hungary,0.854,76.88,11.96329,31328.80599,0.791,4.2,3.11063,14.46582,23.9,12.13,30.6,0.233,12,12.56281407,54.548,4.7,62.605,3.399,NaN,NaN,3.74385130202858,174.6,2.487198635,6.2,22.2,76.0744,103.445
40,Saudi Arabia,0.854,75.13,10.22517,47495.42697,NaN,6.4,18,NaN,NaN,19.7,NaN,0.252,17,19.86754967,52.568,2.403,72.919,5.927,NaN,0.059,NaN,205.6,1.265815787,1.7,4.6,93.31,122.573
41,Bahrain,0.852,77.29,9.5192,42521.70451,NaN,5.5,22.7,NaN,NaN,18.000001,NaN,0.212,14,18.75,72.838,0.986,63.797,0.714,NaN,NaN,0.6147599269223898,233.3,0.523923468,2.1,7.9,98.6434,133.341
42,Chile,0.851,80.18,10.58295,23261.29726,0.709,6.3,10.386,31.144998,36.3,23.66,44.4,0.247,13,22.72727273,58.202,9.002,68.845,7.09,5.9,0.465,1.3693702681303879,245.5,4.404894484,3.8,16,82.3275,134.437
43,Croatia,0.851,78.49,11.44932,28069.84837,0.783,4.3,4.67412,14.67226,22.9,8.2000002,30.4,0.116,8,20.52980132,47.632,5.963,66.546,6.935,NaN,NaN,4.2791918581908766,77.4,0.577421797,5.1,18.8,72.6888,105.583
44,Qatar,0.848,80.23,9.73144,92418.23036,NaN,5.7,11.8,NaN,NaN,29.030001,NaN,0.185,9,9.756097561,86.741,1.194,44.376,0.091,NaN,0.082,0.9607778689351921,46.8,0.365972376,1.1,7.3,99.6528,141.856
45,Argentina,0.845,76.67,10.94060102,21190.17661,0.729,8.6,5.954049975,25.15935239,29.9,NaN,41.4,0.328,39,39.87730061,55.301,0.092,78.497,9.789,NaN,0.669,1.564236565080597,194.1,5.324478739,3.5,15,74.2949,132.093
46,Brunei Darussalam,0.838,75.86,9.14,63965.09279,NaN,7.6,NaN,NaN,NaN,NaN,NaN,0.255,31,9.090909091,58.781,1.363,82.756,9.117,NaN,0.17,2.445904636745422,136.1,0.494542721,2.8,6.2,94.6,131.934
47,Montenegro,0.829,76.88,11.58926489,21399.24713,0.749,3.6,7.81501,16.92405,27.7,8.5100003,39,0.109,6,28.39506173,46.341,7.933,72.96,14.883,9.3929,0.272,4.52164612407049,179.1,2.229998901,3.6,12.6,71.5173,180.694
48,Romania,0.828,76.05,11.0708,29497.23164,0.73,6.3,5.33215,22.70669,24.9,15.24,36,0.276,19,19.56989247,52.489,21.706,48.199,3.976,NaN,NaN,2.4683993750887656,106.6,1.281649699,2.4,13.9,70.6813,116.246
49,Palau,0.826,73.93,12.49143,19316.97453,NaN,NaN,1.9,NaN,NaN,NaN,NaN,NaN,NaN,13.79310345,NaN,NaN,NaN,NaN,NaN,NaN,2.082213438735178,422.2,11.16632237,NaN,NaN,NaN,134.407
50,Kazakhstan,0.825,73.6,11.8949,22857.46082,0.766,7.7,3.2,10.3,23,NaN,27.5,0.19,10,22.07792208,65.601,15.802,63.742,4.59,NaN,0.132,1.8667470797359065,201,5.06083427,7.7,40.1,78.9039,141.968
51,Russian Federation,0.824,72.58,12.17244258,26157.04711,0.74,7.1,4.196,18.752,29.9,20.24,37.5,0.225,17,16.4516129,58.968,5.757,67.568,4.585,NaN,0.086,5.465586738648953,386.4,8.209475626,7.5,48.3,80.8647,157.431
52,Belarus,0.823,74.79,12.30584324,18546.48713,0.771,4.4,3.7,10.8,21.4,NaN,25.2,0.118,2,34.93975904,61.184,11.018,58.531,4.595,0.97577,0.218,5.111881036173473,344.4,2.39087279,6.2,39.3,79.1299,122.925
